Unnamed: 0,ano,nível_experiência,tipo_emprego,cargo,salário_original,moeda_salário,salário_usd,país_residência,percentual_remoto,país_empresa,tamanho_empresa
21,2020,Pleno,Tempo integral,Product Data Analyst,450000,INR,6072,IN,100,IN,Grande
22,2020,Sênior,Tempo integral,Engenheiro de Dados,42000,EUR,47899,GR,50,GR,Grande
23,2020,Pleno,Tempo integral,BI Data Analyst,98000,USD,98000,US,0,US,Média
24,2020,Pleno,Tempo integral,Lead Data Scientist,115000,USD,115000,AE,0,AE,Grande
25,2020,Diretor,Tempo integral,Director of Data Science,325000,USD,325000,US,100,US,Grande
26,2020,Júnior,Tempo integral,Research Scientist,42000,USD,42000,NL,50,NL,Grande
27,2020,Sênior,Tempo integral,Engenheiro de Dados,720000,MXN,33511,MX,0,MX,Pequena
28,2020,Júnior,Contrato,Business Data Analyst,100000,USD,100000,US,100,US,Grande
29,2020,Sênior,Tempo integral,Machine Learning Manager,157000,CAD,117104,CA,50,CA,Grande
30,2020,Pleno,Tempo integral,Data Engineering Manager,51999,EUR,59303,DE,100,DE,Pequena
31,2020,Júnior,Tempo integral,Big Data Engineer,70000,USD,70000,US,100,US,Grande
32,2020,Sênior,Tempo integral,Cientista de Dados,60000,EUR,68428,GR,100,US,Grande
33,2020,Pleno,Tempo integral,Research Scientist,450000,USD,450000,US,0,US,Média
34,2020,Pleno,Tempo integral,Analista de Dados,41000,EUR,46759,FR,50,FR,Grande
35,2020,Pleno,Tempo integral,Engenheiro de Dados,65000,EUR,74130,AT,50,AT,Grande
36,2020,Pleno,Tempo integral,Data Science Consultant,103000,USD,103000,US,100,US,Grande
37,2020,Júnior,Tempo integral,Engenheiro de Machine Learning,250000,USD,250000,US,50,US,Grande
38,2020,Júnior,Tempo integral,Analista de Dados,10000,USD,10000,NG,100,NG,Pequena
39,2020,Júnior,Tempo integral,Engenheiro de Machine Learning,138000,USD,138000,US,100,US,Pequena
40,2020,Pleno,Tempo integral,Cientista de Dados,45760,USD,45760,PH,100,US,Pequena
41,2020,Diretor,Tempo integral,Data Engineering Manager,70000,EUR,79833,ES,50,ES,Grande
42,2020,Pleno,Tempo integral,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,Média
43,2020,Pleno,Tempo integral,Engenheiro de Dados,106000,USD,106000,US,100,US,Grande
44,2020,Pleno,Tempo integral,Engenheiro de Dados,88000,GBP,112872,GB,50,GB,Grande
45,2020,Júnior,Meio período,ML Engineer,14000,EUR,15966,DE,100,DE,Pequena
46,2020,Pleno,Tempo integral,Cientista de Dados,60000,GBP,76958,GB,100,GB,Pequena
47,2020,Sênior,Tempo integral,Engenheiro de Dados,188000,USD,188000,US,100,US,Grande
48,2020,Pleno,Tempo integral,Cientista de Dados,105000,USD,105000,US,100,US,Grande
49,2020,Pleno,Tempo integral,Engenheiro de Dados,61500,EUR,70139,FR,50,FR,Grande
50,2020,Júnior,Tempo integral,Analista de Dados,450000,INR,6072,IN,0,IN,Pequena
51,2020,Júnior,Tempo integral,Analista de Dados,91000,USD,91000,US,100,US,Grande
52,2020,Júnior,Tempo integral,AI Scientist,300000,DKK,45896,DK,50,DK,Pequena
53,2020,Júnior,Tempo integral,Engenheiro de Dados,48000,EUR,54742,PK,100,DE,Grande
54,2020,Sênior,Freelancer,Computer Vision Engineer,60000,USD,60000,RU,100,US,Pequena
55,2020,Sênior,Tempo integral,Principal Data Scientist,130000,EUR,148261,DE,100,DE,Média
56,2020,Pleno,Tempo integral,Cientista de Dados,34000,EUR,38776,ES,100,ES,Média
57,2020,Pleno,Tempo integral,Cientista de Dados,118000,USD,118000,US,100,US,Média
58,2020,Sênior,Tempo integral,Cientista de Dados,120000,USD,120000,US,50,US,Grande
59,2020,Pleno,Tempo integral,Cientista de Dados,138350,USD,138350,US,100,US,Média
60,2020,Pleno,Tempo integral,Engenheiro de Dados,110000,USD,110000,US,100,US,Grande
61,2020,Pleno,Tempo integral,Engenheiro de Dados,130800,USD,130800,ES,100,US,Média
62,2020,Júnior,Meio período,Cientista de Dados,19000,EUR,21669,IT,50,IT,Pequena
63,2020,Sênior,Tempo integral,Cientista de Dados,412000,USD,412000,US,100,US,Grande
64,2020,Sênior,Tempo integral,Engenheiro de Machine Learning,40000,EUR,45618,HR,100,HR,Pequena
65,2020,Júnior,Tempo integral,Cientista de Dados,55000,EUR,62726,DE,50,DE,Pequena
66,2020,Júnior,Tempo integral,Cientista de Dados,43200,EUR,49268,DE,0,DE,Pequena
67,2020,Sênior,Tempo integral,Data Science Manager,190200,USD,190200,US,100,US,Média
68,2020,Júnior,Tempo integral,Cientista de Dados,105000,USD,105000,US,100,US,Pequena
69,2020,Sênior,Tempo integral,Cientista de Dados,80000,EUR,91237,AT,0,AT,Pequena
70,2020,Pleno,Tempo integral,Cientista de Dados,55000,EUR,62726,FR,50,LU,Pequena
71,2020,Pleno,Tempo integral,Cientista de Dados,37000,EUR,42197,FR,50,FR,Pequena
72,2021,Júnior,Tempo integral,Research Scientist,60000,GBP,82528,GB,50,GB,Grande
73,2021,Diretor,Tempo integral,BI Data Analyst,150000,USD,150000,IN,100,US,Grande
74,2021,Diretor,Tempo integral,Head of Data,235000,USD,235000,US,100,US,Grande
75,2021,Sênior,Tempo integral,Cientista de Dados,45000,EUR,53192,FR,50,FR,Grande
76,2021,Pleno,Tempo integral,BI Data Analyst,100000,USD,100000,US,100,US,Média
77,2021,Pleno,Meio período,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,Média
78,2021,Pleno,Contrato,ML Engineer,270000,USD,270000,US,100,US,Grande
79,2021,Júnior,Tempo integral,Analista de Dados,80000,USD,80000,US,100,US,Média
80,2021,Sênior,Tempo integral,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,Grande
81,2021,Pleno,Tempo integral,Engenheiro de Dados,140000,USD,140000,US,100,US,Grande
82,2021,Pleno,Tempo integral,Applied Data Scientist,68000,CAD,54238,GB,50,CA,Grande
83,2021,Pleno,Tempo integral,Engenheiro de Machine Learning,40000,EUR,47282,ES,100,ES,Pequena
84,2021,Diretor,Tempo integral,Director of Data Science,130000,EUR,153667,IT,100,PL,Grande
85,2021,Pleno,Tempo integral,Engenheiro de Dados,110000,PLN,28476,PL,100,PL,Grande
86,2021,Júnior,Tempo integral,Analista de Dados,50000,EUR,59102,FR,50,FR,Média
87,2021,Pleno,Tempo integral,Data Analytics Engineer,110000,USD,110000,US,100,US,Grande
88,2021,Sênior,Tempo integral,Lead Data Analyst,170000,USD,170000,US,100,US,Grande
89,2021,Sênior,Tempo integral,Analista de Dados,80000,USD,80000,BG,100,US,Pequena
90,2021,Sênior,Tempo integral,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,Grande
91,2021,Júnior,Tempo integral,Data Science Consultant,65000,EUR,76833,DE,100,DE,Pequena
92,2021,Pleno,Tempo integral,Lead Data Analyst,1450000,INR,19609,IN,100,IN,Grande
93,2021,Sênior,Tempo integral,Lead Data Engineer,276000,USD,276000,US,0,US,Grande
94,2021,Júnior,Tempo integral,Cientista de Dados,2200000,INR,29751,IN,50,IN,Grande
95,2021,Pleno,Tempo integral,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,Grande
96,2021,Júnior,Meio período,AI Scientist,12000,USD,12000,BR,100,US,Pequena
97,2021,Pleno,Tempo integral,Financial Data Analyst,450000,USD,450000,US,100,US,Grande
98,2021,Júnior,Tempo integral,Computer Vision Software Engineer,70000,USD,70000,US,100,US,Média
99,2021,Pleno,Tempo integral,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,Pequena
100,2021,Pleno,Tempo integral,Analista de Dados,75000,USD,75000,US,0,US,Grande
101,2021,Sênior,Tempo integral,Engenheiro de Dados,150000,USD,150000,US,100,US,Grande
102,2021,Pleno,Tempo integral,BI Data Analyst,11000000,HUF,36259,HU,50,US,Grande
103,2021,Pleno,Tempo integral,Analista de Dados,62000,USD,62000,US,0,US,Grande
104,2021,Pleno,Tempo integral,Cientista de Dados,73000,USD,73000,US,0,US,Grande
105,2021,Pleno,Tempo integral,Analista de Dados,37456,GBP,51519,GB,50,GB,Grande
106,2021,Pleno,Tempo integral,Research Scientist,235000,CAD,187442,CA,100,CA,Grande
107,2021,Sênior,Tempo integral,Engenheiro de Dados,115000,USD,115000,US,100,US,Pequena
108,2021,Sênior,Tempo integral,Engenheiro de Dados,150000,USD,150000,US,100,US,Média
109,2021,Júnior,Tempo integral,Engenheiro de Dados,2250000,INR,30428,IN,100,IN,Grande
110,2021,Sênior,Tempo integral,Engenheiro de Machine Learning,80000,EUR,94564,DE,50,DE,Grande
111,2021,Sênior,Tempo integral,Director of Data Engineering,82500,GBP,113476,GB,100,GB,Média
112,2021,Sênior,Tempo integral,Lead Data Engineer,75000,GBP,103160,GB,100,GB,Pequena
113,2021,Júnior,Meio período,AI Scientist,12000,USD,12000,PK,100,US,Média
114,2021,Pleno,Tempo integral,Engenheiro de Dados,38400,EUR,45391,NL,100,NL,Grande
115,2021,Júnior,Tempo integral,Machine Learning Scientist,225000,USD,225000,US,100,US,Grande
116,2021,Pleno,Tempo integral,Cientista de Dados,50000,USD,50000,NG,100,NG,Grande
117,2021,Pleno,Tempo integral,Data Science Engineer,34000,EUR,40189,GR,100,GR,Média
118,2021,Júnior,Tempo integral,Analista de Dados,90000,USD,90000,US,100,US,Pequena
119,2021,Pleno,Tempo integral,Engenheiro de Dados,200000,USD,200000,US,100,US,Grande
120,2021,Pleno,Tempo integral,Big Data Engineer,60000,USD,60000,ES,50,RO,Média
121,2021,Sênior,Tempo integral,Principal Data Engineer,200000,USD,200000,US,100,US,Média
122,2021,Júnior,Tempo integral,Analista de Dados,50000,USD,50000,US,100,US,Média
123,2021,Júnior,Tempo integral,Applied Data Scientist,80000,GBP,110037,GB,0,GB,Grande
124,2021,Júnior,Meio período,Analista de Dados,8760,EUR,10354,ES,50,ES,Média
125,2021,Pleno,Tempo integral,Principal Data Scientist,151000,USD,151000,US,100,US,Grande
126,2021,Sênior,Tempo integral,Machine Learning Scientist,120000,USD,120000,US,50,US,Pequena
127,2021,Pleno,Tempo integral,Cientista de Dados,700000,INR,9466,IN,0,IN,Pequena
128,2021,Júnior,Tempo integral,Engenheiro de Machine Learning,20000,USD,20000,IN,100,IN,Pequena
129,2021,Sênior,Tempo integral,Lead Data Scientist,3000000,INR,40570,IN,50,IN,Grande
130,2021,Júnior,Tempo integral,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,Pequena
131,2021,Júnior,Tempo integral,Cientista de Dados,42000,EUR,49646,FR,50,FR,Média
132,2021,Pleno,Tempo integral,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,Média
133,2021,Sênior,Tempo integral,Computer Vision Engineer,24000,USD,24000,BR,100,BR,Média
134,2021,Júnior,Tempo integral,Cientista de Dados,100000,USD,100000,US,0,US,Pequena
135,2021,Pleno,Tempo integral,Analista de Dados,90000,USD,90000,US,100,US,Média
136,2021,Pleno,Tempo integral,ML Engineer,7000000,JPY,63711,JP,50,JP,Pequena
137,2021,Pleno,Tempo integral,ML Engineer,8500000,JPY,77364,JP,50,JP,Pequena
138,2021,Sênior,Tempo integral,Principal Data Scientist,220000,USD,220000,US,0,US,Grande
139,2021,Júnior,Tempo integral,Cientista de Dados,80000,USD,80000,US,100,US,Média
140,2021,Pleno,Tempo integral,Analista de Dados,135000,USD,135000,US,100,US,Grande
141,2021,Sênior,Tempo integral,Data Science Manager,240000,USD,240000,US,0,US,Grande
142,2021,Sênior,Tempo integral,Data Engineering Manager,150000,USD,150000,US,0,US,Grande
143,2021,Pleno,Tempo integral,Cientista de Dados,82500,USD,82500,US,100,US,Pequena
144,2021,Pleno,Tempo integral,Engenheiro de Dados,100000,USD,100000,US,100,US,Grande
145,2021,Sênior,Tempo integral,Engenheiro de Machine Learning,70000,EUR,82744,BE,50,BE,Média
146,2021,Pleno,Tempo integral,Research Scientist,53000,EUR,62649,FR,50,FR,Média
147,2021,Pleno,Tempo integral,Engenheiro de Dados,90000,USD,90000,US,100,US,Grande
148,2021,Sênior,Tempo integral,Data Engineering Manager,153000,USD,153000,US,100,US,Grande
149,2021,Sênior,Tempo integral,Cloud Data Engineer,160000,USD,160000,BR,100,US,Pequena
150,2021,Sênior,Tempo integral,Director of Data Science,168000,USD,168000,JP,0,JP,Pequena
151,2021,Pleno,Tempo integral,Cientista de Dados,150000,USD,150000,US,100,US,Média
152,2021,Pleno,Tempo integral,Cientista de Dados,95000,CAD,75774,CA,100,CA,Grande
153,2021,Júnior,Tempo integral,Cientista de Dados,13400,USD,13400,UA,100,UA,Grande
154,2021,Sênior,Tempo integral,Data Science Manager,144000,USD,144000,US,100,US,Grande
155,2021,Sênior,Tempo integral,Data Science Engineer,159500,CAD,127221,CA,50,CA,Grande
156,2021,Pleno,Tempo integral,Cientista de Dados,160000,SGD,119059,SG,100,IL,Média
157,2021,Pleno,Tempo integral,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,Grande
158,2021,Sênior,Tempo integral,Data Analytics Manager,120000,USD,120000,US,100,US,Média
159,2021,Júnior,Tempo integral,Engenheiro de Machine Learning,125000,USD,125000,US,100,US,Pequena
160,2021,Diretor,Tempo integral,Head of Data,230000,USD,230000,RU,50,RU,Grande
161,2021,Diretor,Tempo integral,Head of Data Science,85000,USD,85000,RU,0,RU,Média
162,2021,Pleno,Tempo integral,Engenheiro de Dados,24000,EUR,28369,MT,50,MT,Grande
163,2021,Júnior,Tempo integral,Data Science Consultant,54000,EUR,63831,DE,50,DE,Grande
164,2021,Diretor,Tempo integral,Director of Data Science,110000,EUR,130026,DE,50,DE,Média
165,2021,Sênior,Tempo integral,Data Specialist,165000,USD,165000,US,100,US,Grande
166,2021,Júnior,Tempo integral,Engenheiro de Dados,80000,USD,80000,US,100,US,Grande
167,2021,Diretor,Tempo integral,Director of Data Science,250000,USD,250000,US,0,US,Grande
168,2021,Júnior,Tempo integral,BI Data Analyst,55000,USD,55000,US,50,US,Pequena
169,2021,Pleno,Tempo integral,Data Architect,150000,USD,150000,US,100,US,Grande
170,2021,Pleno,Tempo integral,Data Architect,170000,USD,170000,US,100,US,Grande
171,2021,Pleno,Tempo integral,Engenheiro de Dados,60000,GBP,82528,GB,100,GB,Grande
172,2021,Júnior,Tempo integral,Analista de Dados,60000,USD,60000,US,100,US,Pequena
173,2021,Sênior,Tempo integral,Principal Data Scientist,235000,USD,235000,US,100,US,Grande
174,2021,Sênior,Tempo integral,Research Scientist,51400,EUR,60757,PT,50,PT,Grande
175,2021,Sênior,Tempo integral,Data Engineering Manager,174000,USD,174000,US,100,US,Grande
176,2021,Pleno,Tempo integral,Cientista de Dados,58000,MXN,2859,MX,0,MX,Pequena
177,2021,Pleno,Tempo integral,Cientista de Dados,30400000,CLP,40038,CL,100,CL,Grande
178,2021,Júnior,Tempo integral,Engenheiro de Machine Learning,81000,USD,81000,US,50,US,Pequena
179,2021,Pleno,Tempo integral,Cientista de Dados,420000,INR,5679,IN,100,US,Pequena
180,2021,Pleno,Tempo integral,Big Data Engineer,1672000,INR,22611,IN,0,IN,Grande
181,2021,Pleno,Tempo integral,Cientista de Dados,76760,EUR,90734,DE,50,DE,Grande
182,2021,Pleno,Tempo integral,Engenheiro de Dados,22000,EUR,26005,RO,0,US,Grande
183,2021,Sênior,Tempo integral,Finance Data Analyst,45000,GBP,61896,GB,50,GB,Grande
184,2021,Pleno,Freelancer,Machine Learning Scientist,12000,USD,12000,PK,50,PK,Média
185,2021,Pleno,Tempo integral,Engenheiro de Dados,4000,USD,4000,IR,100,IR,Média
186,2021,Sênior,Tempo integral,Data Analytics Engineer,50000,USD,50000,VN,100,GB,Média
187,2021,Diretor,Tempo integral,Data Science Consultant,59000,EUR,69741,FR,100,ES,Pequena
188,2021,Sênior,Tempo integral,Engenheiro de Dados,65000,EUR,76833,RO,50,GB,Pequena
189,2021,Pleno,Tempo integral,Engenheiro de Machine Learning,74000,USD,74000,JP,50,JP,Pequena
190,2021,Sênior,Tempo integral,Data Science Manager,152000,USD,152000,US,100,FR,Grande
191,2021,Júnior,Tempo integral,Engenheiro de Machine Learning,21844,USD,21844,CO,50,CO,Média
192,2021,Pleno,Tempo integral,Big Data Engineer,18000,USD,18000,MD,0,MD,Pequena
193,2021,Sênior,Tempo integral,Data Science Manager,174000,USD,174000,US,100,US,Grande
194,2021,Sênior,Tempo integral,Research Scientist,120500,CAD,96113,CA,50,CA,Grande
195,2021,Pleno,Tempo integral,Cientista de Dados,147000,USD,147000,US,50,US,Grande
196,2021,Júnior,Tempo integral,BI Data Analyst,9272,USD,9272,KE,100,KE,Pequena
197,2021,Sênior,Tempo integral,Engenheiro de Machine Learning,1799997,INR,24342,IN,100,IN,Grande
198,2021,Sênior,Tempo integral,Data Science Manager,4000000,INR,54094,IN,50,US,Grande
199,2021,Júnior,Tempo integral,Data Science Consultant,90000,USD,90000,US,100,US,Pequena
200,2021,Pleno,Tempo integral,Cientista de Dados,52000,EUR,61467,DE,50,AT,Média
201,2021,Sênior,Tempo integral,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,Média
202,2021,Pleno,Tempo integral,Cientista de Dados,32000,EUR,37825,ES,100,ES,Grande
203,2021,Sênior,Tempo integral,Research Scientist,50000,USD,50000,FR,100,US,Pequena
204,2021,Pleno,Tempo integral,Cientista de Dados,160000,USD,160000,US,100,US,Grande
205,2021,Pleno,Tempo integral,Cientista de Dados,69600,BRL,12901,BR,0,BR,Pequena
206,2021,Sênior,Tempo integral,Engenheiro de Machine Learning,200000,USD,200000,US,100,US,Grande
207,2021,Sênior,Tempo integral,Engenheiro de Dados,165000,USD,165000,US,0,US,Média
208,2021,Pleno,Freelancer,Engenheiro de Dados,20000,USD,20000,IT,0,US,Grande
209,2021,Sênior,Tempo integral,Data Analytics Manager,120000,USD,120000,US,0,US,Grande
210,2021,Pleno,Tempo integral,Engenheiro de Machine Learning,21000,EUR,24823,SI,50,SI,Grande
211,2021,Pleno,Tempo integral,Research Scientist,48000,EUR,56738,FR,50,FR,Pequena
212,2021,Pleno,Tempo integral,Engenheiro de Dados,48000,GBP,66022,HK,50,GB,Pequena
213,2021,Júnior,Tempo integral,Big Data Engineer,435000,INR,5882,IN,0,CH,Grande
214,2021,Júnior,Tempo integral,Engenheiro de Machine Learning,21000,EUR,24823,DE,50,DE,Média
215,2021,Sênior,Tempo integral,Principal Data Engineer,185000,USD,185000,US,100,US,Grande
216,2021,Júnior,Meio período,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,Pequena
217,2021,Pleno,Tempo integral,Cientista de Dados,76760,EUR,90734,DE,50,DE,Grande
218,2021,Pleno,Tempo integral,Engenheiro de Machine Learning,75000,EUR,88654,BE,100,BE,Média
219,2021,Sênior,Tempo integral,Data Analytics Manager,140000,USD,140000,US,100,US,Grande
220,2021,Pleno,Tempo integral,Engenheiro de Machine Learning,180000,PLN,46597,PL,100,PL,Grande
221,2021,Pleno,Tempo integral,Cientista de Dados,85000,GBP,116914,GB,50,GB,Grande
222,2021,Pleno,Tempo integral,Cientista de Dados,2500000,INR,33808,IN,0,IN,Média
223,2021,Pleno,Tempo integral,Cientista de Dados,40900,GBP,56256,GB,50,GB,Grande
224,2021,Sênior,Tempo integral,Machine Learning Scientist,225000,USD,225000,US,100,CA,Grande
225,2021,Diretor,Contrato,Principal Data Scientist,416000,USD,416000,US,100,US,Pequena
226,2021,Sênior,Tempo integral,Cientista de Dados,110000,CAD,87738,CA,100,CA,Pequena
227,2021,Pleno,Tempo integral,Cientista de Dados,75000,EUR,88654,DE,50,DE,Grande
228,2021,Sênior,Tempo integral,Cientista de Dados,135000,USD,135000,US,0,US,Grande
229,2021,Sênior,Tempo integral,Analista de Dados,90000,CAD,71786,CA,100,CA,Média
230,2021,Júnior,Tempo integral,Big Data Engineer,1200000,INR,16228,IN,100,IN,Grande
231,2021,Sênior,Tempo integral,ML Engineer,256000,USD,256000,US,100,US,Pequena
232,2021,Sênior,Tempo integral,Director of Data Engineering,200000,USD,200000,US,100,US,Grande
233,2021,Sênior,Tempo integral,Analista de Dados,200000,USD,200000,US,100,US,Grande
234,2021,Pleno,Tempo integral,Data Architect,180000,USD,180000,US,100,US,Grande
235,2021,Pleno,Tempo integral,Head of Data Science,110000,USD,110000,US,0,US,Pequena
236,2021,Pleno,Tempo integral,Research Scientist,80000,CAD,63810,CA,100,CA,Média
237,2021,Pleno,Tempo integral,Cientista de Dados,39600,EUR,46809,ES,100,ES,Média
238,2021,Júnior,Tempo integral,Cientista de Dados,4000,USD,4000,VN,0,VN,Média
239,2021,Júnior,Tempo integral,Engenheiro de Dados,1600000,INR,21637,IN,50,IN,Média
240,2021,Sênior,Tempo integral,Cientista de Dados,130000,CAD,103691,CA,100,CA,Grande
241,2021,Pleno,Tempo integral,Analista de Dados,80000,USD,80000,US,100,US,Grande
242,2021,Pleno,Tempo integral,Engenheiro de Dados,110000,USD,110000,US,100,US,Grande
243,2021,Sênior,Tempo integral,Cientista de Dados,165000,USD,165000,US,100,US,Grande
244,2021,Júnior,Tempo integral,AI Scientist,1335000,INR,18053,IN,100,AS,Pequena
245,2021,Pleno,Tempo integral,Engenheiro de Dados,52500,GBP,72212,GB,50,GB,Grande
246,2021,Júnior,Tempo integral,Cientista de Dados,31000,EUR,36643,FR,50,FR,Grande
247,2021,Pleno,Tempo integral,Engenheiro de Dados,108000,TRY,12103,TR,0,TR,Média
248,2021,Sênior,Tempo integral,Engenheiro de Dados,70000,GBP,96282,GB,50,GB,Grande
249,2021,Sênior,Tempo integral,Principal Data Analyst,170000,USD,170000,US,100,US,Média
250,2021,Pleno,Tempo integral,Cientista de Dados,115000,USD,115000,US,50,US,Grande
251,2021,Júnior,Tempo integral,Cientista de Dados,90000,USD,90000,US,100,US,Pequena
252,2021,Diretor,Tempo integral,Principal Data Engineer,600000,USD,600000,US,100,US,Grande
253,2021,Júnior,Tempo integral,Cientista de Dados,2100000,INR,28399,IN,100,IN,Média
254,2021,Pleno,Tempo integral,Analista de Dados,93000,USD,93000,US,100,US,Grande
255,2021,Sênior,Tempo integral,Big Data Architect,125000,CAD,99703,CA,50,CA,Média
256,2021,Pleno,Tempo integral,Engenheiro de Dados,200000,USD,200000,US,100,US,Grande
257,2021,Sênior,Tempo integral,Principal Data Scientist,147000,EUR,173762,DE,100,DE,Média
258,2021,Sênior,Tempo integral,Engenheiro de Machine Learning,185000,USD,185000,US,50,US,Grande
259,2021,Diretor,Tempo integral,Director of Data Science,120000,EUR,141846,DE,0,DE,Grande
260,2021,Pleno,Tempo integral,Cientista de Dados,130000,USD,130000,US,50,US,Grande
261,2021,Sênior,Tempo integral,Analista de Dados,54000,EUR,63831,DE,50,DE,Grande
262,2021,Pleno,Tempo integral,Cientista de Dados,1250000,INR,16904,IN,100,IN,Pequena
263,2021,Sênior,Tempo integral,Engenheiro de Machine Learning,4900000,INR,66265,IN,0,IN,Grande
264,2021,Pleno,Tempo integral,Cientista de Dados,21600,EUR,25532,RS,100,DE,Pequena
265,2021,Sênior,Tempo integral,Lead Data Engineer,160000,USD,160000,PR,50,US,Pequena
266,2021,Pleno,Tempo integral,Engenheiro de Dados,93150,USD,93150,US,0,US,Média
267,2021,Pleno,Tempo integral,Engenheiro de Dados,111775,USD,111775,US,0,US,Média
268,2021,Pleno,Tempo integral,Engenheiro de Dados,250000,TRY,28016,TR,100,TR,Média
269,2021,Júnior,Tempo integral,Engenheiro de Dados,55000,EUR,65013,DE,50,DE,Média
270,2021,Júnior,Tempo integral,Engenheiro de Dados,72500,USD,72500,US,100,US,Grande
271,2021,Sênior,Tempo integral,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,Média
272,2021,Júnior,Tempo integral,Data Science Consultant,65000,EUR,76833,DE,0,DE,Grande
273,2021,Júnior,Tempo integral,Engenheiro de Machine Learning,85000,USD,85000,NL,100,DE,Pequena
274,2021,Sênior,Tempo integral,Cientista de Dados,65720,EUR,77684,FR,50,FR,Média
275,2021,Júnior,Tempo integral,Cientista de Dados,100000,USD,100000,US,100,US,Média
276,2021,Júnior,Tempo integral,Cientista de Dados,58000,USD,58000,US,50,US,Grande
277,2021,Sênior,Tempo integral,AI Scientist,55000,USD,55000,ES,100,ES,Grande
278,2021,Sênior,Tempo integral,Cientista de Dados,180000,TRY,20171,TR,50,TR,Grande
279,2021,Júnior,Tempo integral,Business Data Analyst,50000,EUR,59102,LU,100,LU,Grande
280,2021,Pleno,Tempo integral,Engenheiro de Dados,112000,USD,112000,US,100,US,Grande
281,2021,Júnior,Tempo integral,Research Scientist,100000,USD,100000,JE,0,CN,Grande
282,2021,Pleno,Meio período,Engenheiro de Dados,59000,EUR,69741,NL,100,NL,Grande
283,2021,Sênior,Contrato,Staff Data Scientist,105000,USD,105000,US,100,US,Média
284,2021,Pleno,Tempo integral,Research Scientist,69999,USD,69999,CZ,50,CZ,Grande
285,2021,Sênior,Tempo integral,Data Science Manager,7000000,INR,94665,IN,50,IN,Grande
286,2021,Sênior,Tempo integral,Head of Data,87000,EUR,102839,SI,100,SI,Grande
287,2021,Pleno,Tempo integral,Cientista de Dados,109000,USD,109000,US,50,US,Grande
288,2021,Pleno,Tempo integral,Engenheiro de Machine Learning,43200,EUR,51064,IT,50,IT,Grande
289,2022,Sênior,Tempo integral,Engenheiro de Dados,135000,USD,135000,US,100,US,Média
290,2022,Sênior,Tempo integral,Analista de Dados,155000,USD,155000,US,100,US,Média
291,2022,Sênior,Tempo integral,Analista de Dados,120600,USD,120600,US,100,US,Média
292,2022,Pleno,Tempo integral,Cientista de Dados,130000,USD,130000,US,0,US,Média
